agency,facility,active,owner,facility_type,id,city,agency_type,public_remarks,source,state,latitude,zip_code,nprid,address,remarks,slug,name,reverse_geocoded,url,longitude,entry,owner_type,smooth-surface-throughout,transfer-stations-to-play-components,ramps-to-play-components,accessible-swing,sound-play-components,sight-impaired-play-components,safety-fence,single-entrance
,PS 185K,,City of New York - Public Schools,,897,Brooklyn,,Level 4: Accessible playgrounds with Transfer Platforms and Ground Level Play Features,,NY,40.6237,11209,950,8601 Ridge Blvd.,,playground-at-ps-185k-brooklyn-ny,,,http://www.nycgovparks.org/facilities/playgrounds/,-74.0332,,Municipal/Local Government,True,True,False,False,False,False,False,False
,PS 185M,,City of New York - Public Schools,,898,New York,,Level 4: Accessible playgrounds with Transfer Platforms and Ground Level Play Features,,NY,40.7982,10026,951,"20 West 112 Street, NYC, NY 10026",,playground-at-ps-185m-new-york-ny,,,http://www.nycgovparks.org/facilities/playgrounds/,-73.9496,,Municipal/Local Government,True,True,False,False,False,False,False,False
,PS 186K,,City of New York - Public Schools,,899,Brooklyn,,Level 4: Accessible playgrounds with Transfer Platforms and Ground Level Play Features,,NY,40.6109,11214,952,7601 19th Avenue,,playground-at-ps-186k-brooklyn-ny,,,http://www.nycgovparks.org/facilities/playgrounds/,-73.9942,,Municipal/Local Government,True,True,False,False,False,False,False,False
,PS 18M,,City of New York - Public Schools,,900,New York,,Level 4: Accessible playgrounds with Transfer Platforms and Ground Level Play Features,,NY,40.8718,10034,953,"4124 9th Ave, NYC, NY 10034",,playground-at-ps-18m-new-york-ny,,,http://www.nycgovparks.org/facilities/playgrounds/,-73.9122,,Municipal/Local Government,True,True,False,False,False,False,False,False
,PS 190K,,City of New York - Public Schools,,901,Brooklyn,,Level 4: Accessible playgrounds with Transfer Platforms and Ground Level Play Features,,NY,40.6619,11207,954,590 Sheffield Avenue,,playground-at-ps-190k-brooklyn-ny,,,http://www.nycgovparks.org/facilities/playgrounds/,-73.895,,Municipal/Local Government,True,True,False,False,False,False,False,False
,PS 193K,,City of New York - Public Schools,,902,Brooklyn,,Level 4: Accessible playgrounds with Transfer Platforms and Ground Level Play Features,,NY,40.6223,11210,955,2515 Avenue L,,playground-at-ps-193k-brooklyn-ny,,,http://www.nycgovparks.org/facilities/playgrounds/,-73.9503,,Municipal/Local Government,True,True,False,False,False,False,False,False
,Ps 194 Playground,,City of New York - Public Schools,,903,New York,,Level 4: Accessible playgrounds with Transfer Platforms and Ground Level Play Features,,NY,40.8213,10030,956,"7 To 8 Aves, W 143 To W 144 Sts",,playground-at-ps-194-playground-new-york-ny,,,http://www.nycgovparks.org/facilities/playgrounds/,-73.9414,,Municipal/Local Government,True,True,False,False,False,False,False,False
,PS 195X,,City of New York - Public Schools,,904,Bronx,,Level 4: Accessible playgrounds with Transfer Platforms and Ground Level Play Features,,NY,40.8309,10472,957,1250 Ward Avenue,,playground-at-ps-195x-bronx-ny,,,http://www.nycgovparks.org/facilities/playgrounds/,-73.8772,,Municipal/Local Government,True,True,False,False,False,False,False,False
,PS 197K,,City of New York - Public Schools,,905,Brooklyn,,Level 4: Accessible playgrounds with Transfer Platforms and Ground Level Play Features,,NY,40.6122,11210,958,1599 E 22 St,,playground-at-ps-197k-brooklyn-ny,,,http://www.nycgovparks.org/facilities/playgrounds/,-73.9515,,Municipal/Local Government,True,True,False,False,False,False,False,False
,PS 198K,,City of New York - Public Schools,,906,Brooklyn,,Level 4: Accessible playgrounds with Transfer Platforms and Ground Level Play Features,,NY,40.6377,11210,959,"4105 Farragut Road, Brooklun, NY 11210",,playground-at-ps-198k-brooklyn-ny,,,http://www.nycgovparks.org/facilities/playgrounds/,-73.9374,,Municipal/Local Government,True,True,False,False,False,False,False,False
,PS 199K,,City of New York - Public Schools,,907,Brooklyn,,Level 4: Accessible playgrounds with Transfer Platforms and Ground Level Play Features,,NY,40.6161,11230,960,1100 Elm Avenue,,playground-at-ps-199k-brooklyn-ny,,,http://www.nycgovparks.org/facilities/playgrounds/,-73.9629,,Municipal/Local Government,True,True,False,False,False,False,False,False
,PS 199Q,,City of New York - Public Schools,,908,Sunnyside,,Level 4: Accessible playgrounds with Transfer Platforms and Ground Level Play Features,,NY,40.7398,11104,961,39-20 48th Avenue,,playground-at-ps-199q-sunnyside-ny,,,http://www.nycgovparks.org/facilities/playgrounds/,-73.9264,,Municipal/Local Government,True,True,False,False,False,False,False,False
,PS 19Q,,City of New York - Public Schools,,909,Corona,,Level 4: Accessible playgrounds with Transfer Platforms and Ground Level Play Features,,NY,40.7481,11368,962,98-02 Roosevelt Avenue,,playground-at-ps-19q-corona-ny,,,http://www.nycgovparks.org/facilities/playgrounds/,-73.8663,,Municipal/Local Government,True,True,False,False,False,False,False,False
,PS 203K,,City of New York - Public Schools,,910,Brooklyn,,Level 4: Accessible playgrounds with Transfer Platforms and Ground Level Play Features,,NY,40.6223,11234,963,5101 Avenue M,,playground-at-ps-203k-brooklyn-ny,,,http://www.nycgovparks.org/facilities/playgrounds/,-73.9258,,Municipal/Local Government,True,True,False,False,False,False,False,False
,PS 204K,,City of New York - Public Schools,,911,Brooklyn,,Level 4: Accessible playgrounds with Transfer Platforms and Ground Level Play Features,,NY,40.6137,11228,964,8101 15th Avenue,,playground-at-ps-204k-brooklyn-ny,,,http://www.nycgovparks.org/facilities/playgrounds/,-74.0062,,Municipal/Local Government,True,True,False,False,False,False,False,False
,PS 205K,,City of New York - Public Schools,,912,Brooklyn,,Level 4: Accessible playgrounds with Transfer Platforms and Ground Level Play Features,,NY,40.6146,11204,965,6701 20th Avenue,,playground-at-ps-205k-brooklyn-ny,,,http://www.nycgovparks.org/facilities/playgrounds/,-73.9866,,Municipal/Local Government,True,True,False,False,False,False,False,False
,PS 207K,,City of New York - Public Schools,,913,Brooklyn,,Level 4: Accessible playgrounds with Transfer Platforms and Ground Level Play Features,,NY,40.6142,11234,966,4011 Fillmore Avenue,,playground-at-ps-207k-brooklyn-ny,,,http://www.nycgovparks.org/facilities/playgrounds/,-73.9306,,Municipal/Local Government,True,True,False,False,False,False,False,False
,PS 208K,,City of New York - Public Schools,,914,Brooklyn,,Level 4: Accessible playgrounds with Transfer Platforms and Ground Level Play Features,,NY,40.6431,11203,967,4801 Avenue D,,playground-at-ps-208k-brooklyn-ny,,,http://www.nycgovparks.org/facilities/playgrounds/,-73.931,,Municipal/Local Government,True,True,False,False,False,False,False,False
,PS 208M,,City of New York - Public Schools,,915,New York,,Level 4: Accessible playgrounds with Transfer Platforms and Ground Level Play Features,,NY,40.7988,10026,968,"21 West 111th Street, NYC, NY 10026",,playground-at-ps-208m-new-york-ny,,,http://www.nycgovparks.org/facilities/playgrounds/,-73.9525,,Municipal/Local Government,True,True,False,False,False,False,False,False
,PS 209K,,City of New York - Public Schools,,916,Brooklyn,,Level 4: Accessible playgrounds with Transfer Platforms and Ground Level Play Features,,NY,40.5868,11235,969,2609 East 7th Street,,playground-at-ps-209k-brooklyn-ny,,,http://www.nycgovparks.org/facilities/playgrounds/,-73.9609,,Municipal/Local Government,True,True,False,False,False,False,False,False
,PS 211X,,City of New York - Public Schools,,917,Bronx,,Level 4: Accessible playgrounds with Transfer Platforms and Ground Level Play Features,,NY,40.8439,10457,970,1919 Prospect Avenue,,playground-at-ps-211x-bronx-ny,,,http://www.nycgovparks.org/facilities/playgrounds/,-73.8902,,Municipal/Local Government,True,True,False,False,False,False,False,False
,PS 215K,,City of New York - Public Schools,,918,Brooklyn,,Level 4: Accessible playgrounds with Transfer Platforms and Ground Level Play Features,,NY,40.6028,11223,971,415 AVE S,,playground-at-ps-215k-brooklyn-ny,,,http://www.nycgovparks.org/facilities/playgrounds/,-73.9703,,Municipal/Local Government,True,True,False,False,False,False,False,False
,PS 217K,,City of New York - Public Schools,,919,Brooklyn,,Level 4: Accessible playgrounds with Transfer Platforms and Ground Level Play Features,,NY,40.6333,11230,972,1100 Newkirk Avenue,,playground-at-ps-217k-brooklyn-ny,,,http://www.nycgovparks.org/facilities/playgrounds/,-73.9666,,Municipal/Local Government,True,True,False,False,False,False,False,False
,PS 21K,,City of New York - Public Schools,,920,Brooklyn,,Level 4: Accessible playgrounds with Transfer Platforms and Ground Level Play Features,,NY,40.6805,11233,973,180 Chauncey Street,,playground-at-ps-21k-brooklyn-ny,,,http://www.nycgovparks.org/facilities/playgrounds/,-73.9271,,Municipal/Local Government,True,True,False,False,False,False,False,False
,PS 21R,,City of New York - Public Schools,,921,Staten Island,,Level 4: Accessible playgrounds with Transfer Platforms and Ground Level Play Features,,NY,40.6311,10302,974,168 Hooker Place,,playground-at-ps-21r-staten-island-ny,,,http://www.nycgovparks.org/facilities/playgrounds/,-74.1445,,Municipal/Local Government,True,True,False,False,False,False,False,False
,PS 221K,,City of New York - Public Schools,,922,Brooklyn,,Level 4: Accessible playgrounds with Transfer Platforms and Ground Level Play Features,,NY,40.6639,11213,975,791 Empire Blvd.,,playground-at-ps-221k-brooklyn-ny,,,http://www.nycgovparks.org/facilities/playgrounds/,-73.9352,,Municipal/Local Government,True,True,False,False,False,False,False,False
,PS 222K,,City of New York - Public Schools,,923,Brooklyn,,Level 4: Accessible playgrounds with Transfer Platforms and Ground Level Play Features,,NY,40.614,11234,976,3301 Quentin Road,,playground-at-ps-222k-brooklyn-ny,,,http://www.nycgovparks.org/facilities/playgrounds/,-73.9395,,Municipal/Local Government,True,True,False,False,False,False,False,False
,PS 223Q,,City of New York - Public Schools,,924,Jamaica,,Level 4: Accessible playgrounds with Transfer Platforms and Ground Level Play Features,,NY,40.6744,11436,977,125-20 Sutphin Blvd.,,playground-at-ps-223q-jamaica-ny,,,http://www.nycgovparks.org/facilities/playgrounds/,-73.7898,,Municipal/Local Government,True,True,False,False,False,False,False,False
,PS 226K,,City of New York - Public Schools,,925,Brooklyn,,Level 4: Accessible playgrounds with Transfer Platforms and Ground Level Play Features,,NY,40.6156,11204,978,6006 23rd Avenue,,playground-at-ps-226k-brooklyn-ny,,,http://www.nycgovparks.org/facilities/playgrounds/,-73.9774,,Municipal/Local Government,True,True,False,False,False,False,False,False
,PS 229K,,City of New York - Public Schools,,926,Brooklyn,,Level 4: Accessible playgrounds with Transfer Platforms and Ground Level Play Features,,NY,40.6103,11228,979,1400 Benson Avenue,,playground-at-ps-229k-brooklyn-ny,,,http://www.nycgovparks.org/facilities/playgrounds/,-74.0139,,Municipal/Local Government,True,True,False,False,False,False,False,False
,PS 22R,,City of New York - Public Schools,,927,Staten Island,,Level 4: Accessible playgrounds with Transfer Platforms and Ground Level Play Features,,NY,40.6247,10303,980,1860 Forest Avenue,,playground-at-ps-22r-staten-island-ny,,,http://www.nycgovparks.org/facilities/playgrounds/,-74.1507,,Municipal/Local Government,True,True,False,False,False,False,False,False
,PS 233K,,City of New York - Public Schools,,928,Brooklyn,,Level 4: Accessible playgrounds with Transfer Platforms and Ground Level Play Features,,NY,40.6519,11236,981,9301 Avenue B,,playground-at-ps-233k-brooklyn-ny,,,http://www.nycgovparks.org/facilities/playgrounds/,-73.9148,,Municipal/Local Government,True,True,False,False,False,False,False,False
,PS 235K,,City of New York - Public Schools,,929,Brooklyn,,Level 4: Accessible playgrounds with Transfer Platforms and Ground Level Play Features,,NY,40.6555,11203,982,525 Lenox Road,,playground-at-ps-235k-brooklyn-ny,,,http://www.nycgovparks.org/facilities/playgrounds/,-73.9409,,Municipal/Local Government,True,True,False,False,False,False,False,False
,PS 236K,,City of New York - Public Schools,,930,Brooklyn,,Level 4: Accessible playgrounds with Transfer Platforms and Ground Level Play Features,,NY,40.6152,11234,983,6302 Avenue U,,playground-at-ps-236k-brooklyn-ny,,,http://www.nycgovparks.org/facilities/playgrounds/,-73.9117,,Municipal/Local Government,True,True,False,False,False,False,False,False
,PS 238K,,City of New York - Public Schools,,931,Brooklyn,,Level 4: Accessible playgrounds with Transfer Platforms and Ground Level Play Features,,NY,40.6085,11223,984,1633 East 8th Street,,playground-at-ps-238k-brooklyn-ny,,,http://www.nycgovparks.org/facilities/playgrounds/,-73.9646,,Municipal/Local Government,True,True,False,False,False,False,False,False
,PS 23R,,City of New York - Public Schools,,932,Staten Island,,Level 4: Accessible playgrounds with Transfer Platforms and Ground Level Play Features,,NY,40.5707,10306,985,30 Netick Street,,playground-at-ps-23r-staten-island-ny,,,http://www.nycgovparks.org/facilities/playgrounds/,-74.1339,,Municipal/Local Government,True,True,False,False,False,False,False,False
,PS 241M,,City of New York - Public Schools,,933,New York,,Level 4: Accessible playgrounds with Transfer Platforms and Ground Level Play Features,,NY,40.8016,10026,986,"240 West 113th Street, NYC, NY 10026",,playground-at-ps-241m-new-york-ny,,,http://www.nycgovparks.org/facilities/playgrounds/,-73.9559,,Municipal/Local Government,True,True,False,False,False,False,False,False
,PS 242M,,City of New York - Public Schools,,934,New York,,Level 4: Accessible playgrounds with Transfer Platforms and Ground Level Play Features,,NY,40.7998,10035,987,"370 West 120 Street, NYC, NY 10035",,playground-at-ps-242m-new-york-ny,,,http://www.nycgovparks.org/facilities/playgrounds/,-73.9346,,Municipal/Local Government,True,True,False,False,False,False,False,False
,PS 243K,,City of New York - Public Schools,,935,Brooklyn,,Level 4: Accessible playgrounds with Transfer Platforms and Ground Level Play Features,,NY,40.6756,11213,988,1580 Dean St,,playground-at-ps-243k-brooklyn-ny,,,http://www.nycgovparks.org/facilities/playgrounds/,-73.9349,,Municipal/Local Government,True,True,False,False,False,False,False,False
,PS 244K,,City of New York - Public Schools,,936,Brooklyn,,Level 4: Accessible playgrounds with Transfer Platforms and Ground Level Play Features,,NY,40.6475,11203,989,5400 Tilden Avenue,,playground-at-ps-244k-brooklyn-ny,,,http://www.nycgovparks.org/facilities/playgrounds/,-73.9256,,Municipal/Local Government,True,True,False,False,False,False,False,False
,PS 246X,,City of New York - Public Schools,,937,Bronx,,Level 4: Accessible playgrounds with Transfer Platforms and Ground Level Play Features,,NY,40.8594,10468,990,2280 Aqueduct Ave.,,playground-at-ps-246x-bronx-ny,,,http://www.nycgovparks.org/facilities/playgrounds/,-73.9061,,Municipal/Local Government,True,True,False,False,False,False,False,False
,PS 247K,,City of New York - Public Schools,,938,Brooklyn,,Level 4: Accessible playgrounds with Transfer Platforms and Ground Level Play Features,,NY,40.6123,11204,991,7000 21st Avenue,,playground-at-ps-247k-brooklyn-ny,,,http://www.nycgovparks.org/facilities/playgrounds/,-73.9873,,Municipal/Local Government,True,True,False,False,False,False,False,False
,PS 249K,,City of New York - Public Schools,,939,Brooklyn,,Level 4: Accessible playgrounds with Transfer Platforms and Ground Level Play Features,,NY,40.6494,11226,992,18 Marlborough Road,,playground-at-ps-249k-brooklyn-ny,,,http://www.nycgovparks.org/facilities/playgrounds/,-73.9666,,Municipal/Local Government,True,True,False,False,False,False,False,False
,PS 24Q,,City of New York - Public Schools,,940,Flushing,,Level 4: Accessible playgrounds with Transfer Platforms and Ground Level Play Features,,NY,40.752,11355,993,141-11 Holly Avenue,,playground-at-ps-24q-flushing-ny,,,http://www.nycgovparks.org/facilities/playgrounds/,-73.8185,,Municipal/Local Government,True,True,False,False,False,False,False,False
,PS 254K,,City of New York - Public Schools,,941,Brooklyn,,Level 4: Accessible playgrounds with Transfer Platforms and Ground Level Play Features,,NY,40.5913,11235,994,1801 Avenue Y,,playground-at-ps-254k-brooklyn-ny,,,http://www.nycgovparks.org/facilities/playgrounds/,-73.9516,,Municipal/Local Government,True,True,False,False,False,False,False,False
,PS 254Q,,City of New York - Public Schools,,942,Richmond Hill,,Level 4: Accessible playgrounds with Transfer Platforms and Ground Level Play Features,,NY,40.6973,11418,995,84-40 101st Street,,playground-at-ps-254q-richmond-hill-ny,,,http://www.nycgovparks.org/facilities/playgrounds/,-73.8477,,Municipal/Local Government,True,True,False,False,False,False,False,False
,PS 268Q,,City of New York - Public Schools,,943,Jamaica,,Level 4: Accessible playgrounds with Transfer Platforms and Ground Level Play Features,,NY,40.7076,11433,996,97-02 175 Street,,playground-at-ps-268q-jamaica-ny,,,http://www.nycgovparks.org/facilities/playgrounds/,-73.7855,,Municipal/Local Government,True,True,False,False,False,False,False,False
,PS 26R,,City of New York - Public Schools,,944,Staten Island,,Level 4: Accessible playgrounds with Transfer Platforms and Ground Level Play Features,,NY,40.5914,10314,997,4108 Victory Boulevard,,playground-at-ps-26r-staten-island-ny,,,http://www.nycgovparks.org/facilities/playgrounds/,-74.1903,,Municipal/Local Government,True,True,False,False,False,False,False,False
,PS 274K,,City of New York - Public Schools,,945,Brooklyn,,Level 4: Accessible playgrounds with Transfer Platforms and Ground Level Play Features,,NY,,11221,998,800 Bushwick Avenue,,playground-at-ps-274k-brooklyn-ny,,,http://www.nycgovparks.org/facilities/playgrounds/,,,Municipal/Local Government,True,True,False,False,False,False,False,False
,Ps 278,,City of New York - Public Schools,,946,Brooklyn,,Level 3: Accessible Playgrounds with Universally Accessible Swings,,NY,40.6075,11229,999,"FILLMORE AVE, MADISON PL",,playground-at-ps-278-brooklyn-ny,,,http://www.nycgovparks.org/facilities/playgrounds/,-73.9384,,Municipal/Local Government,True,False,False,True,False,False,False,False
,PS 279X,,City of New York - Public Schools,,947,Bronx,,Level 4: Accessible playgrounds with Transfer Platforms and Ground Level Play Features,,NY,40.8543,10453,1000,2100 Walton Avenue,,playground-at-ps-279x-bronx-ny,,,http://www.nycgovparks.org/facilities/playgrounds/,-73.9052,,Municipal/Local Government,True,True,False,False,False,False,False,False
,Ps 286 ,,City of New York - Public Schools,,948,Brooklyn,,Level 2: Accessible Playgrounds with Ramped Play Equipment and/or Universally Accessible Swings,,NY,40.5909,11235,1001,"Ave Y, Bet Brown & Haring Sts",,playground-at-ps-286--brooklyn-ny,,,http://www.nycgovparks.org/facilities/playgrounds/,-73.9385,,Municipal/Local Government,True,False,True,True,False,False,False,False
,PS 299K,,City of New York - Public Schools,,949,Brooklyn,,Level 4: Accessible playgrounds with Transfer Platforms and Ground Level Play Features,,NY,40.6906,11221,1002,88 Woodbine Street,,playground-at-ps-299k-brooklyn-ny,,,http://www.nycgovparks.org/facilities/playgrounds/,-73.918,,Municipal/Local Government,True,True,False,False,False,False,False,False
,PS 29R,,City of New York - Public Schools,,950,Staten Island,,Level 4: Accessible playgrounds with Transfer Platforms and Ground Level Play Features,,NY,40.6142,10314,1003,1581 Victory Boulevard,,playground-at-ps-29r-staten-island-ny,,,http://www.nycgovparks.org/facilities/playgrounds/,-74.1159,,Municipal/Local Government,True,True,False,False,False,False,False,False
,PS 306X,,City of New York - Public Schools,,951,Bronx,,Level 4: Accessible playgrounds with Transfer Platforms and Ground Level Play Features,,NY,40.8509,10453,1004,40 West Tremont Ave.,,playground-at-ps-306x-bronx-ny,,,http://www.nycgovparks.org/facilities/playgrounds/,-73.9112,,Municipal/Local Government,True,True,False,False,False,False,False,False
,PS 30R,,City of New York - Public Schools,,952,Staten Island,,Level 4: Accessible playgrounds with Transfer Platforms and Ground Level Play Features,,NY,40.6183,10314,1005,200 Wardwell Ave.,,playground-at-ps-30r-staten-island-ny,,,http://www.nycgovparks.org/facilities/playgrounds/,-74.1329,,Municipal/Local Government,True,True,False,False,False,False,False,False
,PS 310X,,City of New York - Public Schools,,953,Bronx,,Level 4: Accessible playgrounds with Transfer Platforms and Ground Level Play Features,,NY,40.8725,10463,1006,260 W. Kingsbridge Road,,playground-at-ps-310x-bronx-ny,,,http://www.nycgovparks.org/facilities/playgrounds/,-73.9054,,Municipal/Local Government,True,True,False,False,False,False,False,False
,PS 31K,,City of New York - Public Schools,,954,Brooklyn,,Level 4: Accessible playgrounds with Transfer Platforms and Ground Level Play Features,,NY,40.7269,11222,1007,75 Meserole Avenue,,playground-at-ps-31k-brooklyn-ny,,,http://www.nycgovparks.org/facilities/playgrounds/,-73.9544,,Municipal/Local Government,True,True,False,False,False,False,False,False
,PS 321K,,City of New York - Public Schools,,955,Brooklyn,,Level 4: Accessible playgrounds with Transfer Platforms and Ground Level Play Features,,NY,40.672,11215,1008,180 7th Avenue,,playground-at-ps-321k-brooklyn-ny,,,http://www.nycgovparks.org/facilities/playgrounds/,-73.9792,,Municipal/Local Government,True,True,False,False,False,False,False,False
,PS 328K,,City of New York - Public Schools,,956,Brooklyn,,Level 4: Accessible playgrounds with Transfer Platforms and Ground Level Play Features,,NY,40.6683,11207,1009,330 Alabama Avenue,,playground-at-ps-328k-brooklyn-ny,,,http://www.nycgovparks.org/facilities/playgrounds/,-73.8983,,Municipal/Local Government,True,True,False,False,False,False,False,False
,PS 32R,,City of New York - Public Schools,,957,Staten Island,,Level 4: Accessible playgrounds with Transfer Platforms and Ground Level Play Features,,NY,40.558,10308,1010,32 Elverton Avenue,,playground-at-ps-32r-staten-island-ny,,,http://www.nycgovparks.org/facilities/playgrounds/,-74.155,,Municipal/Local Government,True,True,False,False,False,False,False,False
,PS 335K,,City of New York - Public Schools,,958,Brooklyn,,Level 4: Accessible playgrounds with Transfer Platforms and Ground Level Play Features,,NY,40.6745,11213,1011,130 Rochester Avenue,,playground-at-ps-335k-brooklyn-ny,,,http://www.nycgovparks.org/facilities/playgrounds/,-73.9287,,Municipal/Local Government,True,True,False,False,False,False,False,False
,PS 33Q,,City of New York - Public Schools,,959,Queens Village,,Level 4: Accessible playgrounds with Transfer Platforms and Ground Level Play Features,,NY,40.7273,11428,1012,91-37 222 Street,,playground-at-ps-33q-queens-village-ny,,,http://www.nycgovparks.org/facilities/playgrounds/,-73.7337,,Municipal/Local Government,True,True,False,False,False,False,False,False
,PS 33X,,City of New York - Public Schools,,960,Bronx,,Level 4: Accessible playgrounds with Transfer Platforms and Ground Level Play Features,,NY,40.8618,10468,1013,2424 Jerome Ave.,,playground-at-ps-33x-bronx-ny,,,http://www.nycgovparks.org/facilities/playgrounds/,-73.9014,,Municipal/Local Government,True,True,False,False,False,False,False,False
,PS 340X,,City of New York - Public Schools,,961,Bronx,,Level 4: Accessible playgrounds with Transfer Platforms and Ground Level Play Features,,NY,40.8693,10468,1014,25 W. 195th Street,,playground-at-ps-340x-bronx-ny,,,http://www.nycgovparks.org/facilities/playgrounds/,-73.8975,,Municipal/Local Government,True,True,False,False,False,False,False,False
,PS 34K,,City of New York - Public Schools,,962,Brooklyn,,Level 4: Accessible playgrounds with Transfer Platforms and Ground Level Play Features,,NY,40.7264,11222,1015,131 Norman Avenue,,playground-at-ps-34k-brooklyn-ny,,,,-73.9498,,Municipal/Local Government,True,True,False,False,False,False,False,False
,PS 35Q,,City of New York - Public Schools,,963,Hollis,,Level 4: Accessible playgrounds with Transfer Platforms and Ground Level Play Features,,NY,40.7132,11423,1016,191-02 90th Avenue,,playground-at-ps-35q-hollis-ny,,,,-73.7689,,Municipal/Local Government,True,True,False,False,False,False,False,False
,PS 369 Annex,,City of New York - Public Schools,,964,Brooklyn,,Level 4: Accessible playgrounds with Transfer Platforms and Ground Level Play Features,,NY,40.6489,11226,1017,35 Snyder Avenue,,playground-at-ps-369-annex-brooklyn-ny,,,,-73.957,,Municipal/Local Government,True,True,False,False,False,False,False,False
,PS 36Q,,City of New York - Public Schools,,965,Saint Albans,,Level 4: Accessible playgrounds with Transfer Platforms and Ground Level Play Features,,NY,40.6916,11412,1018,187-01 Foch Blvd.,,playground-at-ps-36q-saint-albans-ny,,,,-73.764,,Municipal/Local Government,True,True,False,False,False,False,False,False
,PS 36R,,City of New York - Public Schools,,966,Staten Island,,Level 4: Accessible playgrounds with Transfer Platforms and Ground Level Play Features,,NY,40.543,10312,1019,255 Ionia Avenue,,playground-at-ps-36r-staten-island-ny,,,,-74.1831,,Municipal/Local Government,True,True,False,False,False,False,False,False
,PS 36X,,City of New York - Public Schools,,967,Bronx,,Level 4: Accessible playgrounds with Transfer Platforms and Ground Level Play Features,,NY,40.8295,10472,1020,1070 Castle Hill Ave.,,playground-at-ps-36x-bronx-ny,,,,-73.8495,,Municipal/Local Government,True,True,False,False,False,False,False,False
,PS 375K,,City of New York - Public Schools,,968,Brooklyn,,Level 4: Accessible playgrounds with Transfer Platforms and Ground Level Play Features,,NY,40.6657,11225,1021,46 McKeever Pl.,,playground-at-ps-375k-brooklyn-ny,,,,-73.9592,,Municipal/Local Government,True,True,False,False,False,False,False,False
,PS 376K,,City of New York - Public Schools,,969,Brooklyn,,Level 4: Accessible playgrounds with Transfer Platforms and Ground Level Play Features,,NY,40.6984,11237,1022,194 Harmon Street,,playground-at-ps-376k-brooklyn-ny,,,,-73.9199,,Municipal/Local Government,True,True,False,False,False,False,False,False
,PS 37R,,City of New York - Public Schools,,970,Staten Island,,Level 4: Accessible playgrounds with Transfer Platforms and Ground Level Play Features,,NY,40.5644,10308,1023,15 Fairfield Street,,playground-at-ps-37r-staten-island-ny,,,http://www.nycgovparks.org/facilities/playgrounds/,-74.151,,Municipal/Local Government,True,True,False,False,False,False,False,False
,PS 384K,,City of New York - Public Schools,,971,Brooklyn,,Level 4: Accessible playgrounds with Transfer Platforms and Ground Level Play Features,,NY,40.6903,11207,1024,242 Cooper Street,,playground-at-ps-384k-brooklyn-ny,,,http://www.nycgovparks.org/facilities/playgrounds/,-73.9042,,Municipal/Local Government,True,True,False,False,False,False,False,False
,PS 398K,,City of New York - Public Schools,,972,Brooklyn,,Level 4: Accessible playgrounds with Transfer Platforms and Ground Level Play Features,,NY,40.6633,11212,1025,60 East 94th Street,,playground-at-ps-398k-brooklyn-ny,,,http://www.nycgovparks.org/facilities/playgrounds/,-73.9272,,Municipal/Local Government,True,True,False,False,False,False,False,False
,PS 399K,,City of New York - Public Schools,,973,Brooklyn,,Level 4: Accessible playgrounds with Transfer Platforms and Ground Level Play Features,,NY,40.6483,11226,1026,2707 Albermarle Road,,playground-at-ps-399k-brooklyn-ny,,,http://www.nycgovparks.org/facilities/playgrounds/,-73.9514,,Municipal/Local Government,True,True,False,False,False,False,False,False
,PS 3R,,City of New York - Public Schools,,974,Staten Island,,Level 4: Accessible playgrounds with Transfer Platforms and Ground Level Play Features,,NY,40.5209,10309,1027,80 South Goff Avenue,,playground-at-ps-3r-staten-island-ny,,,http://www.nycgovparks.org/facilities/playgrounds/,-74.2117,,Municipal/Local Government,True,True,False,False,False,False,False,False
,PS 3X,,City of New York - Public Schools,,975,Bronx,,Level 4: Accessible playgrounds with Transfer Platforms and Ground Level Play Features,,NY,40.8505,10457,1028,2100 La Fontaine Avenue,,playground-at-ps-3x-bronx-ny,,,http://www.nycgovparks.org/facilities/playgrounds/,-73.8916,,Municipal/Local Government,True,True,False,False,False,False,False,False
,PS 41R,,City of New York - Public Schools,,976,Staten Island,,Level 4: Accessible playgrounds with Transfer Platforms and Ground Level Play Features,,NY,40.5737,10306,1029,216 Clawson Street,,playground-at-ps-41r-staten-island-ny,,,http://www.nycgovparks.org/facilities/playgrounds/,-74.1085,,Municipal/Local Government,True,True,False,False,False,False,False,False
,PS 44R,,City of New York - Public Schools,,977,Staten Island,,Level 4: Accessible playgrounds with Transfer Platforms and Ground Level Play Features,,NY,40.6318,10303,1030,80 Maple Parkway,,playground-at-ps-44r-staten-island-ny,,,http://www.nycgovparks.org/facilities/playgrounds/,-74.1576,,Municipal/Local Government,True,True,False,False,False,False,False,False
,PS 45Q,,City of New York - Public Schools,,978,Jamaica,,Level 4: Accessible playgrounds with Transfer Platforms and Ground Level Play Features,,NY,40.6717,11436,1031,126-28 150th Street,,playground-at-ps-45q-jamaica-ny,,,http://www.nycgovparks.org/facilities/playgrounds/,-73.789,,Municipal/Local Government,True,True,False,False,False,False,False,False
,PS 45R,,City of New York - Public Schools,,979,Staten Island,,Level 4: Accessible playgrounds with Transfer Platforms and Ground Level Play Features,,NY,,10310,1032,58 Lawrence Avenue,,playground-at-ps-45r-staten-island-ny,,,http://www.nycgovparks.org/facilities/playgrounds/,,,Municipal/Local Government,True,True,False,False,False,False,False,False
